Class,IS for normalization (main) POS,IS for normalization (option 1) POS,IS for normalization (option 2) POS,IS for normalization (option 3) POS,IS for normalization (option 4) POS,IS for normalization (main) NEG,IS for normalization (option 1) NEG,IS for normalization (option 2) NEG,IS for normalization (option 3) NEG
HexSPB,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]PE 16:0_16:0,[D9]Cer 18:0;O2/16:0,[D9]SM 18:1;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0
LBPA,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0,[D7]LPC 18:1,[D7]PG 15:0_18:1,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D9]LPE 16:0
LPA,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
LPC,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
LPE,[D9]LPE 16:0,[D7]LPC 18:1,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]LPE 16:0,[D7]LPC 18:1,[D9]PE 16:0_16:0,[D7]PC 15:0_18:1
LPG,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
LPI,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
LPIM,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
LPS,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]PE 16:0_16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1
LSM,[D9]SM 18:1;O2/16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1,[D7]PG 15:0_18:1,[D9]SM 18:1;O2/16:0,[D7]LPC 18:1,[D9]LPE 16:0,[D7]PC 15:0_18:1
M(IP)2C,[D7]PG 15:0_18:1,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1,[D9]PE 16:0_16:0,[D7]PG 15:0_18:1,[D9]SM 18:1;O2/16:0,[D9]Cer 18:0;O2/16:0,[D7]PC 15:0_18:1
