GP,GP,PMeOH,PEtOH,PT,CDP-DG,SLBPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,PMeOH,PEtOH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC,HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HexCer,HexCer,Hex(2)Cer,Hex(3)Cer,Hex(4)Cer,Hex(5)Cer,Hex(6)Cer,Hex(7)Cer,Hex(8)Cer,Hex(9)Cer,Hex(10)Cer,Hex(11)Cer,Hex(12)Cer,Hex(13)Cer,Hex(14)Cer,Hex(15)Cer,Hex(20)Cer,HexCer t,HexCer d,GM3,Glc-Cer,GlcCer,GalCer,Gal-Cer,Hex2Cer,Hex3Cer,Hex4Cer,Hex5Cer,Hex6Cer,Hex7Cer,Hex8Cer,Hex9Cer,Hex10Cer,Hex11Cer,Hex12Cer,Hex13Cer,Hex14Cer,Hex15Cer,Hex20Cer,AHexCer,Hex(,Hex(2)-HexNAc-Cer,Hex(2)-NeuAc-Cer,Hex(3)-HexNAc-Fuc(2)-Cer,Hex(4)-HexNAc(3)-Cer,Hex(4)-HexNAc-Fuc-Cer,Hex(5)-HexNAc-NeuAc(2)-Cer,Hex(6)-HexNAc(3)-Fuc-NeuAc-Cer,Hex(6)-HexNAc-Cer,Hex(8)-HexNAc-Cer,Hex(2)-HexNAc-Fuc-NeuAc(2)-Cer,Hex(2)-HexNAc-NeuGc-Cer,Hex(2)-NeuAc(2)-Cer,Hex(3)-Fuc-Cer,Hex(3)-HexNAc(2)-Fuc(2)-NeuAc-Cer,Hex(3)-HexNAc(2)-Fuc-NeuAc-Cer,Hex(3)-HexNAc(2)-Fuc-NeuAc-Cer,Hex(3)-HexNAc(3)-Cer,Hex(3)-HexNAc-KDN-Cer,Hex(4)-HexNAc(2)-NeuAc-Cer,Hex(4)-HexNAc(3)-Cer,Hex(4)-HexNAc(3)-Fuc-NeuAc-Cer,Hex(4)-HexNAc(3)-Fuc-NeuAc-Cer,Hex(4)-HexNAc-Cer,Hex(4)-HexNAc-Cer,Hex(6)-HexNAc-Cer,Hex(7)-HexNAc(4)-Cer,Hex-HexNAc-Cer,Hex-HexNAc-Cer,NeuAcHex2Cer,NeuAcHex2Cer,NeuAcHex2Cer,Hex(3)-HexNAc-Cer,Hex(3)-HexNAc-Fuc-Cer,Hex(3)-HexNAc-Fuc-KDN-Cer,Hex(3)-Cer,Hex(5)-HexNAc(3)-NeuGc-Cer,Hex(3)-HexNAc-NeuAc(3)-Cer,Hex(4)-HexNAc(3)-Fuc-Cer,Hex(4)-Cer,Hex(3)-HexNAc-NeuGc(2)-Cer,Hex(3)-HexNAc-NeuAc(3)-Cer,Hex(3)-HexNAc(2)-NeuGc-Cer,Hex(3)-HexNAc(2)-NeuAc-Cer,Hex(3)-Cer,Hex(2)-KDN-Cer,Hex(2)-HexNAc-KDN-Cer,Hex(5)-HexNAc-Cer,Hex(5)-HexNAc-Fuc-Cer,Hex(6)-Cer,Hex(2)-HexNAc-NeuAc(2)-Cer,Hex(2)-HexNAc-NeuAc(2)-Cer,Hex-NeuAc-Cer,Hex(3)-NeuAc-Cer,Hex(4)-HexNAc-NeuGc(2)-Cer,Hex(5)-HexNAc(3)-Fuc-NeuAc-Cer,Hex(3)-HexNAc-Fuc-NeuGc-Cer,Hex(4)-HexNAc(2)-Cer,Hex(4)-HexNAc(2)-Fuc-Cer
HexSPB,HexSPB,SPB-Glc,FMC-5,FMC-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPA,LPA,LPA O-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPC,LPC,LPC d,LPC O-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPE,LPE,LPE d,Am-Hex-LPE,Am-Hex-LPE,LPE O-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPG,LPG,LPG O-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPI,LPI,LPI O-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
