,Positive,,,,,Negative,,,,,,
Lipid Class,P0,P1,P2,P3,P4,N0,N1,N2,N3,N4,Sensitivity Pos,Sensitivity Neg
PE-Cer,[M+H]+,NA,NA,NA,NA,[M-H]-,NA,NA,NA,NA,0.23562996,0.745914686
PE-isoK,[M+H]+,NA,NA,NA,NA,[M-H]-,[M-2H]2-,NA,NA,NA,0.417542013,0.724946254
PE-NMe,[M+H]+,NA,NA,NA,NA,[M-H]-,NA,NA,NA,NA,0.730671426,0.844046591
PG,[M+NH4]+,[M+H]+,NA,NA,NA,[M-H]-,NA,NA,NA,NA,0.57452727,0.773303504
PGP,[M+NH4]+,[M+H]+,NA,NA,NA,[M-H]-,NA,NA,NA,NA,0.379734557,0.723545965
PGS,[M+H]+,[M+NH4]+,NA,NA,NA,[M-H]-,NA,NA,NA,NA,0.486892438,0.76335729
PI,[M+NH4]+,[M+H]+,NA,NA,NA,[M-H]-,[M-2H]2-,NA,NA,NA,0.480316256,0.633503707
PI-Cer,[M+H]+,[M+NH4]+,NA,NA,NA,[M-H]-,[M+formate]-,[M-2H]2-,NA,NA,0.148879523,0.532403474
PIM,[M+H]+,[M+NH4]+,NA,NA,NA,[M-H]-,[M+formate]-,[M-2H]2-,NA,NA,0.690110622,0.079327278
PIP,[M+NH4]+,[M+H]+,NA,NA,NA,[M-H]-,[M-2H]2-,NA,NA,NA,0,0.511248051
PK,[M+NH4]+,[M+H]+,NA,NA,NA,[M-H]-,[M+formate]-,NA,NA,NA,0.626566332,0.729228512
PnC,[M+NH4]+,NA,NA,NA,NA,[M+formate]-,NA,NA,NA,NA,0.703428487,0.898776402
PnE,[M+H]+,NA,NA,NA,NA,[M-H]-,NA,NA,NA,NA,0.475358869,0.822597744
PPA,[M+NH4]+,[M+H]+,NA,NA,NA,[M-H]-,NA,NA,NA,NA,0.242237728,0.755573914
PR,[M+NH4]+,[M+H]+,[M+Na]+,[M+H-H2O]+,[M-H2O+H]+,[M+formate]-,NA,NA,NA,NA,0.496576933,0.905110127
PS,[M+H]+,[M+Na]+,NA,NA,NA,[M-H]-,[M-2H]2-,NA,NA,NA,0.349547627,0.750616623
PS-NAc,[M+H]+,NA,NA,NA,NA,[M-H]-,[M-2H]2-,NA,NA,NA,0.322552494,0.746767977
PT,[M+H]+,[M+NH4]+,NA,NA,NA,[M-H]-,[M+formate]-,NA,NA,NA,0.352843758,0.749825732
SCer,[M+H]+,[M+NH4]+,[M+H-H2O]+,[M-H2O+H]+,NA,[M-H]-,[M+formate]-,NA,NA,NA,0.191296309,0.802782377
SHexCer,[M+H]+,[M+NH4]+,[M+H-H2O]+,[M-H2O+H]+,NA,[M-H]-,[M+formate]-,[M-2H]2-,NA,NA,0.320571086,0.631891942
SL,[M+H]+,NA,NA,NA,NA,[M+formate]-,[M-H]-,[M-2H]2-,NA,NA,1,0.658309249
SLBPA,[M+NH4]+,[M+H]+,NA,NA,NA,[M-H]-,[M-2H]2-,NA,NA,NA,0.685520163,0.79307254
SM,[M+H]+,NA,NA,NA,NA,[M+formate]-,NA,NA,NA,NA,0.477263249,0.839703301
SPB,[M+H]+,NA,NA,NA,NA,[M+formate]-,NA,NA,NA,NA,0.299315143,0.790788631
SPBP,[M+NH4]+,[M+H]+,NA,NA,NA,[M-H]-,NA,NA,NA,NA,0.088178529,0.775661172
SQDG,[M+NH4]+,NA,NA,NA,NA,[M-H]-,[M+formate]-,[M-2H]2-,NA,NA,0.545928217,0.708911951
SQMG,[M+Na]+,[M+H]+,NA,NA,NA,[M-H]-,[M+formate]-,[M-2H]2-,NA,NA,0.438075938,0.688360038
ST,[M+H-H2O]+,[M-H2O+H]+,[M+H]+,[M+NH4]+,NA,[M+formate]-,[M-H]-,NA,NA,NA,0.442461511,0.843741146
SulfateHexSPB,[M+H]+,NA,NA,NA,NA,[M-H]-,[M+formate]-,[M-2H]2-,NA,NA,0.350054244,0.652896606
TG,[M+NH4]+,[M+Na]+,NA,NA,NA,[M+formate]-,NA,NA,NA,NA,0.762885413,0.921556594
WE,[M+H]+,[M+NH4]+,NA,NA,NA,[M+formate]-,NA,NA,NA,NA,0.610137727,0.970195858
Other,[M+NH4]+,[M+H]+,NA,NA,NA,[M+formate]-,[M-H]-,NA,NA,NA,1,1
