Contaminant,m/z,polarity
"3,6,9,12-Tetraoxatetracosan-1-ol (contaminant, used in cosmetics as a cleansing, emulsifying and surfactant agent)",363.3116,Pos
Tricresylphosphate (TCP),369.125,Pos
"Polysiloxane, Polysiloxane, followed by m/z 388",371.101236,Pos
"DEHA, Bis(2-ethylhexyl) adipate, plasticizer",371.315586,Pos
"DOA, Dioctyl adipate, plasticizer",371.315586,Pos
"4-HCCA, matrix cluster, dimer",379.092464,Pos
"Triton, reduced",381.2975,Pos
"Polysiloxane, Polysiloxane, (see m/z 371)",388.127785,Pos
PEG (n8),388.25411,Pos
"Diisooctyl phthalate, Diisooctyl phthalate, plasticiser",391.284286,Pos
Dioctyl phthalate (plasticizer),391.2843,Pos
Unknown,394.3529386,Pos
Dioctyl phthalate (plasticizer),413.26623,Pos
"Diisooctyl phthalate, Diisooctyl phthalate, plasticiser",413.26623,Pos
Unknown,420.3321981,Pos
"1,2-Cyclohexane dicarboxylic acid diisononyl ester (DINCH)",425.36254,Pos
Dioctyl phthalate (plasticizer),429.24017,Pos
Sodium formate 4,430.9138,Pos
PEG (n9),432.28032,Pos
Tris(2-ethylhexl)phosphate,435.3598,Pos
Unknown,444.3799879,Pos
"Polysiloxane, Polysiloxane, followed by m/z 462",445.120028,Pos
"PPG, Polypropylene glycol, ubiquitous polyether",447.29284,Pos
"DCU, N,N'-Dicyclohexylurea",449.385002,Pos
"nylon , Cyclic oligomer of polyamide 66, (adipic acid/hexylmethylene diamine condensation) ",453.343532,Pos
Dioctyl phthalate (plasticizer),454.29278,Pos
"Polysiloxane, Polysiloxane (see m/z 445)",462.146577,Pos
Unknown,464.2927989,Pos
"Peptide, porcine trypsin",472.28781,Pos
Unknown,473.2651103,Pos
PEG (n10),476.30654,Pos
Unknown,478.3893258,Pos
Unknown,478.3896484,Pos
Unknown,492.4050001,Pos
Sodium formate 5,498.9012,Pos
"Peptide, trypsin-like artefact",515.330008,Pos
"DDTDP, Didodecyl 3,3?-thiodipropionate, antioxidant",515.412857,Pos
"Polysiloxane, Polysiloxane, followed by m/z 536",519.13882,Pos
PEG (n11),520.33275,Pos
Unknown,522.597991,Pos
Unknown,526.431913,Pos
"DDTDP, Didodecyl 3,3?-thiodipropionate oxidized to sulfoxide, antioxidant",531.407772,Pos
"Irganox, Irganox 1076, antioxidant in synthetic polymers, antioxidant",531.477171,Pos
"Polysiloxane, Polysiloxane (see m/z 519)",536.165369,Pos
"DDTDP, Didodecyl 3,3?-thiodipropionate oxidized to sulfone, antioxidant",547.402687,Pos
Irganox 1076,548.5037,Pos
Unknown,551.6328125,Pos
"DDTDP, Didodecyl 3,3?-thiodipropionate oxidized to sulfoxide, antioxidant",553.389716,Pos
"Irganox, Irganox 1076, antioxidant in synthetic polymers, antioxidant",553.459115,Pos
Sodium formate,566.8886,Pos
"4-HCCA, matrix cluster, trimer",568.135058,Pos
Unknown,570.4580098,Pos
"Peptide, porcine trypsin",571.35622,Pos
"Polysiloxane, Polysiloxane, followed by m/z 610",593.157612,Pos
"Polysiloxane, Polysiloxane (see m/z 593)",610.184161,Pos
Polisiloxane 1,610.1842,Pos
"CHAPS, 3-[(3-Cholamidopropyl)dimethylammonio]-1-propanesulfonate",615.40375,Pos
"Peptide, Bovine trypsin",633.320233,Pos
Polisiloxane 14,651.1451,Pos
"Peptide, Bovine trypsin",659.383501,Pos
"Polysiloxane, Polysiloxane, followed by m/z 684",667.176404,Pos
"Peptide, porcine trypsin",672.4039,Pos
"Peptide, porcine trypsin",672.4039,Pos
Erucamide,675.6752,Pos
Unknown,678.4791783,Pos
"nylon , Cyclic oligomer of polyamide 66, (adipic acid/hexylmethylene diamine condensation) ",679.51166,Pos
"Polysiloxane, Polysiloxane (see m/z 667)",684.202953,Pos
Polisiloxane 2,684.203,Pos
Unknown,691.3141754,Pos
"Peptide, keratin",704.382499,Pos
Unknown,704.5229453,Pos
Unknown,705.2939362,Pos
Unknown,712.2648387,Pos
Unknown,718.5381989,Pos
Polisiloxane 15,725.1639,Pos
Unknown,732.3410124,Pos
"Peptide, bovine serum albumin (BSA)",732.465439,Pos
"Polysiloxane, Polysiloxane, followed by m/z 758",741.195196,Pos
"Peptide, bovine casein alpha-S1",742.449789,Pos
"Peptide, porcine trypsin",743.44101,Pos
Unknown,746.3201819,Pos
Polisiloxane 3,758.2217,Pos
"Polysiloxane, Polysiloxane (see m/z 741)",758.221745,Pos
"Peptide, porcine trypsin",758.41553,Pos
Unknown,766.5312423,Pos
Unknown,790.5889799,Pos
"Diisooctyl phthalate, Diisooctyl phthalate, plasticiser",798.587845,Pos
Dioctyl phthalate (plasticizer),798.58785,Pos
Polisiloxane 16,799.1827,Pos
"Peptide, porcine trypsin, truncated",802.430512,Pos
Dioctyl phthalate (plasticizer),803.54324,Pos
"Diisooctyl phthalate, Diisooctyl phthalate, plasticiser",803.54324,Pos
"Peptide, keratin (human)",804.409777,Pos
"Peptide, bovine trypsin",805.416259,Pos
"Peptide, keratin (human)",807.39954,Pos
"Peptide, keratin",809.440348,Pos
Unknown,810.557304,Pos
Dioctyl phthalate (plasticizer),819.51718,Pos
"Peptide, trypsin-like artefact",824.498865,Pos
"Peptide, keratin (human)",827.42978,Pos
"Peptide, keratin (human)",827.46214,Pos
Polisiloxane 4,832.2405,Pos
"Peptide, keratin (human)",832.488695,Pos
"Peptide, porcine trypsin",842.50943,Pos
"Peptide, keratin (human)",848.49886,Pos
Unknown,864.7001083,Pos
"Peptide, porcine trypsin - methylated",870.54073,Pos
"Peptide, trypsin-like artefact",871.499594,Pos
Polisiloxane 17,873.2015,Pos
"Peptide, keratin (human)",874.49926,Pos
"Peptide, keratin (human)",881.472711,Pos
"Peptide, Angiotensin standards",883.514849,Pos
"Peptide, trypsin-like artefact",899.530894,Pos
"nylon , Cyclic oligomer of polyamide 66, (adipic acid/hexylmethylene diamine condensation) ",905.679788,Pos
Polisiloxane 5,906.2593,Pos
"Peptide, bovine trypsin",906.50434,Pos
"Peptide, porcine trypsin",906.50434,Pos
"Peptide, Angiotensin standards (bovine)",917.499199,Pos
"Peptide, Angiotensin standards (human)",931.514849,Pos
Polisiloxane 18,947.2203,Pos
"Peptide, trypsin-like artefact, truncated",950.473045,Pos
"Peptide, keratin (human)",973.53129,Pos
"Peptide, bovine trypsin",979.50949,Pos
Polisiloxane 6,980.2781,Pos
"Peptide, keratin",995.519661,Pos
"Peptide, keratin",1000.56734,Pos
"Peptide, bovine serum albumin (BSA)",1002.58299,Pos
"Peptide, keratin",1003.553087,Pos
"Peptide, bovine trypsin",1020.50302,Pos
"Peptide, trypsin-like artefact, truncated",1020.53604,Pos
Polisiloxane 19,1021.2391,Pos
"Peptide, trypsin-like artefact, truncated",1023.474169,Pos
"Peptide, bovine trypsin",1023.51055,Pos
"Peptide, keratin (human)",1031.5983,Pos
"Peptide, keratin (human)",1033.51603,Pos
"Peptide, keratin",1036.532291,Pos
"Peptide, keratin (human)",1037.5262,Pos
"Peptide, porcine trypsin",1045.56365,Pos
"Peptide, bovine trypsin",1046.59528,Pos
Polisiloxane 7,1054.2969,Pos
"Peptide, keratin (human)",1060.56331,Pos
"Peptide, lysyl endopeptidase (Lys-C)",1064.573488,Pos
"Peptide, keratin (human)",1064.60987,Pos
"Peptide, keratin",1065.499338,Pos
"Peptide, keratin (human)",1066.60439,Pos
"Peptide, keratin (human)",1071.60445,Pos
"Peptide, keratin (human)",1082.59931,Pos
"Peptide, keratin (human)",1090.53097,Pos
"Peptide, porcine trypsin",1091.548,Pos
Polisiloxane 20,1095.2579,Pos
"Peptide, keratin (human)",1109.48982,Pos
"Peptide, bovine trypsin",1111.56048,Pos
"Peptide, keratin (human)",1118.508597,Pos
